WARD,ALDERMAN,ADDRESS,CITY,STATE,ZIPCODE,WARD PHONE,WARD FAX,EMAIL,WEBSITE,LOCATION,CITY HALL ADDRESS,CITY HALL CITY,CITY HALL STATE,CITY HALL ZIPCODE,CITY HALL PHONE
39,Margaret Laurino,4404 West Lawrence Avenue,Chicago,IL,60630,(773) 736-5594,(773) 736-2333,mlaurino@cityofchicago.org,http://www.aldermanlaurino.com/,"(41.9682408381, -87.7381318614)","121 North LaSalle Street, Room 200",Chicago,IL,60602,(312) 744-7242
22,Ricardo Munoz,2500 South St. Louis Avenue,Chicago,IL,60623,(773) 762-1771,(773) 762-1825,Ward22@cityofchicago.org,http://munoz22.com/en/,"(41.8461479031, -87.7125463625)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-1825
34,Carrie M. Austin,507 West 111th Street,Chicago,IL,60628,(773) 928-6961,(773) 928-8562,caustin@cityofchicago.org,http://committeeonthebudget.cityofchicago.org/index.html,"(41.6923313961, -87.6354431987)","121 North LaSalle Street, Room 200",Chicago,IL,60602,(312)744-6820
10,Susan Sadlowski Garza,10500 South Ewing Avenue,Chicago,IL,60617,(773) 768-8138,,ward10@cityofchicago.org,,"(41.7044728249, -87.5354310059)","121 North LaSalle Street, Room 200",Chicago,IL,60602,(312) 744-3078
14,Edward M. Burke,2650 West 51st Street,Chicago,IL,60632,(773) 471-1414,(773) 471-1648,eburke@cityofchicago.org,http://www.committeeonfinance.org/,"(41.8011472828, -87.6911632994)","121 North LaSalle Street, Room 302",Chicago,IL,60602,(312) 744-3380
42,Brendan Reilly,"325 West Huron Street, Suite 510",Chicago,IL,60654,(312) 642-4242,(312) 642-0420,office@ward42chicago.com,http://www.ward42chicago.com/,"(41.8946456461, -87.6367875404)","121 North LaSalle Street, Room 200",Chicago,IL,60602,(312) 744-3062
3,Pat Dowell,5046 South State Street,Chicago,IL,60609,(773) 373-9273,(773) 373-6852,Pat.Dowell@cityofchicago.org,http://www.dowellfor3rdward.com/,"(41.8023557628, -87.626046431)","121 North LaSalle Street, Room 200",Chicago,IL,60602,(312) 744-8734
33,Deborah Mell,3001 West Irving Park Road,Chicago,IL,60618,(773) 478-8040,(773) 478-8006,deb@33rdward.org,http://www.33rdward.org,"(41.9538397375, -87.7031884878)","121 North LaSalle Street , Room 200",Chicago,IL,60602,(312) 744-6825
35,Carlos Ramirez-Rosa,2710 North Sawyer Avenue,Chicago,IL,60647,(773) 887-3772,,ward35@cityofchicago.org,http://www.carlosrosa.org/,"(41.9307502744, -87.7094424307)","121 North LaSalle Street, Room 200",Chicago,IL,60602,(312) 744-6835
46,James Cappleman,4544 North Broadway Avenue,Chicago,IL,60640,(773) 878-4646,(773) 878-4920,info@james46.org,http://www.James46.org/,"(41.9648072642, -87.6572583079)","121 North LaSalle Street, Room 200",Chicago,IL,60602,(312) 744-6831
18,Derrick G. Curtis,8359 South Pulaski Road,Chicago,IL,60652,(773) 284-5057,,ward18@cityofchicago.org,,"(41.7403970066, -87.7214741665)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-6856
23,Michael R. Zalewski,6247 South Archer Avenue,Chicago,IL,60638,(773) 582-4444,(773) 582-3332,mzalewski@cityofchicago.org,http://www.chicago23ward.com/,"(41.7934668302, -87.7762640153)","121 North LaSalle Street, Room 200",Chicago,IL,60602,(312) 744-6828
45,John S. Arena,4754 North Milwaukee Avenue,Chicago,IL,60630,(773) 286-4545,(773) 685-4527,ward45@cityofchicago.org,http://ward45.org,"(41.9668780528, -87.7600638382)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-6841
28,Jason C. Ervin,2602 West 16th Street,Chicago,IL,60612,(773) 533-0900,(773) 522-9842,jason.ervin@cityofchicago.org,http://www.AldermanErvin.com/,"(41.8593891128, -87.6909667089)","121 North LaSalle Street, Room 200",Chicago,IL,60602,(312) 744-3066
13,Marty Quinn,6500 South Pulaski Road,Chicago,IL,60629,(773) 581-8000,(773) 581-9414,Marty.Quinn@cityofchicago.org,http://www.madigan-quinn.com/,"(41.7749649984, -87.7228122268)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-3058
50,Debra L. Silverstein,"2949 West Devon Avenue, Suite A",Chicago,IL,60659,(773) 262-1050,(773) 381-2970,info@50thwardchicago.com,http://50thwardchicago.com,"(41.9973735259, -87.704027242)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-6855
8,Michelle A. Harris,8539 South Cottage Grove Avenue,Chicago,IL,60619,(773) 874-3300,(773) 224-2425,mharris@cityofchicago.org,http://www.aldermanmichelleharris.net/,"(41.7391160335, -87.6047448232)","121 Noth LaSalle Street, Room 200",Chicago,IL,60602,(312) 744-3075
40,Patrick J. O'Connor,5850 North Lincoln Avenue,Chicago,IL,60659,(773) 769-1140,(773) 769-3804,ward40@cityofchicago.org,http://www.aldermanoconnor.com/,"(41.9877231686, -87.7031353555)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-6858
4,William D. Burns,"435 East 35th Street, 1st Floor",Chicago,IL,60616,(773) 536-8103,(773) 536-7296,ward04@cityofchicago.org,http://www.aldwillburns.com,"(41.8310649884, -87.6155396214)","121 North LaSalle Street, Room 200",Chicago,IL,60602,(312) 744-2690
36,Gilbert Villegas,6934 West Diversey,Chicago,IL,60607,(773) 745-4636,,ward36@cityofchicago.org,http://www.gilbert2015.com/,"(41.9309456684, -87.7993806454)","121 North LaSalle Street, Room 200",Chicago,IL,60602,(312) 744-4324
49,Joe Moore,7356 North Greenview Avenue,Chicago,IL,60626,(773) 338-5796,(773) 338-5989,ward49@cityofchicago.org,http://www.ward49.com/,"(42.0155326387, -87.6682681105)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-3067
19,Matthew J. O'Shea,10400 South Western Avenue,Chicago,IL,60643,(773) 238-8766,(773) 672-5133,ward19@cityofchicago.org,http://the19thward.com/,"(41.7044608909, -87.6817083517)","121 North LaSalle Street, Room 200",Chicago,IL,60602,(312) 744-3072
17,David H. Moore,7313 South Ashland Avenue,Chicago,IL,60636,(773) 723-3672,,ward17@cityofchicago.org,,"(41.7608491884, -87.6635323159)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-3435
32,Scott Waguespack,2657 North Clybourn Avenue,Chicago,IL,60614,(773) 248-1330,(773) 248-1360,info@ward32.org,http://www.ward32.org,"(41.930025458, -87.6753335365)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-6587
12,George Cardenas,3476 South Archer Avenue,Chicago,IL,60608,(773) 523-8250,(773) 523-8440,ward12@cityofchicago.org,http://www.12thwardchicago.com/,"(41.83076056, -87.6772899416)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-3040
44,Tom Tunney,3223 North Sheffield Avenue,Chicago,IL,60657,(773) 525-6034,(773) 525-5058,ttunney@cityofchicago.org,http://44thward.org/,"(41.940630765, -87.653982104)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-3073
41,Anthony V. Napolitano,7442 North Harlem Avenue,Chicago,IL,60631,(773) 631-2241,,ward41@cityofchicago.org,,"(42.0166104872, -87.8067241291)","121 North LaSalle Street, Room 200",Chicago,IL,60602,(312) 744-3942
27,"Walter Burnett, Jr.",4 North Western Avenue,Chicago,IL,60612,(312) 432-1995,(312) 432-1049,wburnett@cityofchicago.org,http://aldermanburnett.com/,"(41.8812689328, -87.6865817398)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-6124
24,"Michael Scott, Jr.",1158 South Keeler Avenue,Chicago,IL,60624,(773) 533-2400,,mscott@aldermanscott.com,,"(41.8661446948, -87.730212192)","121 North LaSalle Street, Room 200",Chicago,IL,60602,(312) 744-6839
9,Anthony A. Beale,34 East 112th Place,Chicago,IL,60628,(773) 785-1100,(773) 785-2900,ward09@cityofchicago.org,http://www.ward09.cityofchicago.org/,"(41.6899905387, -87.621721359)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-6838
37,Emma M. Mitts,4924 West Chicago Avenue,Chicago,IL,60651,(773) 379-0960,(773) 745-3749,emitts@cityofchicago.org,http://www.37thwardchicago.org/,"(41.8950865485, -87.7492934548)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-8019
31,"Milagros ""Milly"" Santiago",2521 North Pulaski Road,Chicago,IL,60639,(773) 278-0031,,chicagoward31@gmail.com,http://millysantiago.com/,"(41.926976124, -87.7266946805)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-6102
20,Willie B. Cochran,6357 South Cottage Grove Avenue,Chicago,IL,60637,(773) 955-5610,(773) 722-5612,Willie.Cochran@cityofchicago.org,http://the20thward.com,"(41.7787431863, -87.6057467699)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-6840
5,Leslie A. Hairston,2325 East 71st Street,Chicago,IL,60649,(773) 324-5555,(773) 324-1585,lhairston@cityofchicago.org,http://www.leslieahairston.com/,"(41.7660318787, -87.5678811948)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-6832
48,Harry Osterman,5533 North Broadway Avenue,Chicago,IL,60640,(773) 784-5277,(773) 784-6630,harry@48thward.org,http://www.48thward.org,"(41.9827972394, -87.6598982829)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-6834
16,Toni L. Foulkes,3045 West 63rd Street,Chicago,IL,60629,(773) 863-0220,(773) 863-0260,Toni.Foulkes@cityofchicago.org,http://www.tonifoulkes.com/index.html,"(41.7789090127, -87.7000480109)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-6850
